,att_cat,att_name,att_price,score
1074,recommended_experiences,laurentian_mountains_day_trip_from_montreal,100.0,5.0
498,tours_&_sightseeing,45-minute_beacon_hill_park_carriage_tour,165.0,4.153745010142947
449,tours_&_sightseeing,full-day_niagara_falls_tour_from_toronto,113.0,3.8755175604692997
959,recommended_experiences,st._lawrence_market_and_old_toronto_food_tour,89.0,2.4729239394372633
1089,recommended_experiences,45-minute_beacon_hill_park_carriage_tour,165.0,2.1111513877037313
303,outdoor_activities,evening_wildlife_safari,58.8,2.0812023951313856
336,outdoor_activities,vancouver_biking_and_hiking_tour_including_lunch,135.5,2.0422569548419345
151,day_trips_&_excursions,ultimate_day_tour_to_victoria,363.56,2.0302742971984755
161,day_trips_&_excursions,3_hour_whale_watching_tour,129.0,1.9187055753561288
786,family_friendly,quebec_city_historic_discoverers_cruise,44.83,1.8973220819045775
671,walking_&_biking_tours,electric_bike_tour_of_quebec_city,85.0,1.78327865973509
837,family_friendly,lift_your_spirits!_distillery_and_cocktail_experience,105.0,1.7134994630204592
43,"cruises,_sailing_&_water_tours",ultimate_day_tour_to_victoria,363.56,1.507758974425364
35,"air,_helicopter_&_balloon_tours",victoria_panorama_seaplane_tour,125.0,1.4898612394771147
640,walking_&_biking_tours,niagara-on-the-lake_cycle_and_wine-tasting_tour_with_optional_two_course_lunch,77.98,1.3466141019608195
447,tours_&_sightseeing,ultimate_day_tour_to_victoria,363.56,1.3255829309739253
467,tours_&_sightseeing,3_hour_whale_watching_tour,129.0,1.2160841695729605
530,tours_&_sightseeing,toronto_small-group_city_tour,168.37,1.2044102118423687
712,water_sports,ultimate_day_tour_to_victoria,363.56,1.163673344622662
775,family_friendly,medieval_times_dinner_and_tournament_toronto,68.99,1.0774826579248948
877,luxury_&_special_occasions,ultimate_day_tour_to_victoria,363.56,1.0718317784942506
320,outdoor_activities,ultimate_day_tour_to_victoria,363.56,1.060327121997924
396,outdoor_activities,whistler_sky_walk,124.95,0.9462097349775188
50,"cruises,_sailing_&_water_tours",3_hour_whale_watching_tour,129.0,0.9453316552253624
883,luxury_&_special_occasions,3_hour_whale_watching_tour,129.0,0.9443297437132866
76,"cruises,_sailing_&_water_tours",full-day_mont-tremblant_rouge_river_rafting_tour_with_lunch,98.29,0.9359654712023614
1148,recommended_experiences,english_bay_jet_ski_tour_from_vancouver,155.68,0.9080470380568771
783,family_friendly,ultimate_day_tour_to_victoria,363.56,0.8368156325213723
847,shore_excursions,4-day_yukon_aurora_viewing_tour,702.45,0.7713555081773992
199,"food,_wine_&_nightlife",vancouver_brewery_tour,83.99,0.7626741806277595
842,shore_excursions,skagway_shore_excursion:_full-day_tour_of_the_yukon,157.45,0.69349285912899
1127,recommended_experiences,old_montreal_ghost_walking_tour,25.0,0.6745472155021603
633,walking_&_biking_tours,ultimate_day_tour_to_victoria,363.56,0.6488239817370669
289,sightseeing_tickets_&_passes,ultimate_day_tour_to_victoria,363.56,0.6429727551834848
338,outdoor_activities,talking_trees_-_indigenous_walking_tour,40.0,0.6017020393965116
1121,recommended_experiences,vancouver_craft_brewery_and_food_tour,94.99,0.5885864266882209
1017,recommended_experiences,ultimate_day_tour_to_victoria,363.56,0.5847771049429136
921,private_&_custom_tours,120_minute_private_vacation_photography_session_with_local_photographer_in_santorini,886.09,0.5732960186963443
39,"cruises,_sailing_&_water_tours","jasper_national_park_tour:_maligne_valley,_medicine_lake_and_spirit_island",72.45,0.5533530368894812
6,featured_tours_and_tickets,whistler_small-group_day_trip_from_vancouver,145.0,0.5222760143791189
124,cultural_&_theme_tours,kingston_discovery_sightseeing_cruise,39.55,0.518073298129465
207,"food,_wine_&_nightlife",fine_dining_dinner_tour_in_whistler,131.24,0.5140819225893897
848,shore_excursions,sea_to_sky_exotic_driving_experience,404.25,0.49863993502491266
1058,recommended_experiences,flavors_of_old_montreal_walking_tour,68.0,0.4957435646885856
145,day_trips_&_excursions,luxury_niagara_falls_day_trip_from_toronto_with_cruise_and_lunch,169.0,0.47926831190293395
742,water_sports,overnight_camping_and_river-rafting_trip_in_squamish,425.24,0.4762569486503464
542,tours_&_sightseeing,full-day_mont-tremblant_rouge_river_rafting_tour_with_lunch,98.29,0.46272551452096244
1174,recommended_experiences,victoria_panorama_seaplane_tour,125.0,0.46059785973689127
94,cultural_&_theme_tours,niagara_on_the_lake_wine_tour_with_cheese_pairing,83.62,0.44540248030793583
