,att_name,att_cat,att_price,score
277,nordic_backcountry_skiing_tour_in_jacques-cartier_national_park,outdoor_activities,89.9,5.0
766,45-minute_beacon_hill_park_carriage_tour,recommended_experiences,165.0,4.498242229258744
85,6-hour_eagle_viewing_river_float_trip_from_vancouver_with_lunch,cultural_&_theme_tours,157.49,4.373718268116722
708,vancouver_harbor_and_indian_arm_lunch_cruise,recommended_experiences,85.33,3.685347723671882
176,victoria_craft_brewery_tour_and_tastings,"food,_wine_&_nightlife",79.0,3.2723304765999224
365,laurentian_mountains_day_trip_from_montreal,tours_&_sightseeing,100.0,2.5412382297703977
616,3_hour_whale_watching_tour,luxury_&_special_occasions,129.0,2.277415612920088
186,4_hour_montreal_architecture_&_city_bike_tour_with_wine_or_beer,"food,_wine_&_nightlife",86.23,2.0155010189205673
793,nordic_backcountry_skiing_tour_in_jacques-cartier_national_park,recommended_experiences,89.9,1.6985080306087155
747,full-day_niagara_winery_tour_from_toronto,recommended_experiences,99.0,1.6794087536197886
172,full-day_niagara_winery_tour_from_toronto,"food,_wine_&_nightlife",99.0,1.467014726669305
326,bird_kingdom_all_day_admission_ticket,tours_&_sightseeing,20.28,1.4329589287041906
183,beyond_the_bagel:_montreal_jewish_food_walking_tour,"food,_wine_&_nightlife",85.0,1.313451644795932
753,victoria_craft_brewery_tour_and_tastings,recommended_experiences,79.0,1.212988801340274
556,3_hour_whale_watching_tour,family_friendly,129.0,1.1805740588780467
718,small-group_quebec_wine_tour_from_montreal_with_gourmet_lunch_or_cheese_tasting,recommended_experiences,97.73,1.1153539357856077
0,vancouver_city_sightseeing_tour,featured_tours_and_tickets,80.0,1.0674432539977565
515,squamish_cheakamus_white-water_rafting_from_whistler,water_sports,120.74,1.0388464332238756
179,tour_and_taste_okanagan's_wine_country,"food,_wine_&_nightlife",135.45,1.0310492549850452
730,whistler_wilderness_snowmobile_run,recommended_experiences,208.96,1.0139017979226304
352,rockies_classic_4-day_summer_tour,tours_&_sightseeing,687.0,0.9897183081762545
251,rockies_classic_4-day_summer_tour,outdoor_activities,687.0,0.9779559432877077
750,granite_falls_zodiac_tour,recommended_experiences,103.95,0.9271340186476549
531,niagara_falls_small-group_day_tour_from_toronto,family_friendly,100.57,0.8826986745027885
255,2_hour_banff_horseback_riding_adventure,outdoor_activities,124.95,0.8791093345869159
23,victoria_panorama_seaplane_tour,"air,_helicopter_&_balloon_tours",125.0,0.8385418422397873
129,4_hour_montreal_architecture_&_city_bike_tour_with_wine_or_beer,day_trips_&_excursions,86.23,0.8123579012175789
697,glacier_skywalk_admission,recommended_experiences,36.75,0.7908028853946407
770,whistler_wilderness_adventure_snowmobile_tour,recommended_experiences,159.0,0.7856165035116164
600,overnight_camping_and_river-rafting_trip_in_squamish,multi-day_&_extended_tours,425.24,0.7289819060210286
688,jasper_evening_wildlife_tour,recommended_experiences,73.9,0.7130111977361631
30,vancouver_harbor_and_indian_arm_lunch_cruise,"cruises,_sailing_&_water_tours",85.33,0.6965279121433259
140,st._lawrence_market_and_old_toronto_food_tour,"food,_wine_&_nightlife",89.0,0.6548363429548558
220,evening_wildlife_safari,outdoor_activities,58.8,0.6533665073213126
160,niagara-on-the-lake_wine_tour_with_lunch,"food,_wine_&_nightlife",114.99,0.6270367444044799
728,1_hour_banff_horseback_riding_adventures,recommended_experiences,67.2,0.620876581081649
269,small-group_capilano_suspension_bridge_and_vancouver_city_tour,outdoor_activities,200.0,0.5907661275985014
206,bird_kingdom_all_day_admission_ticket,sightseeing_tickets_&_passes,20.28,0.554470870427845
442,niagara_falls_platinum_tour_from_toronto_with_cruise_and_lunch,walking_&_biking_tours,149.0,0.48832224211473696
804,overnight_camping_and_river-rafting_trip_in_squamish,recommended_experiences,425.24,0.48655131060476275
700,gastown_walking_food_tour,recommended_experiences,93.45,0.48177122416391027
388,seaplane_flight_to_vancouver_with_bus_tour_from_victoria,tours_&_sightseeing,439.0,0.47925285623314795
156,fine_dining_dinner_tour_in_whistler,"food,_wine_&_nightlife",131.24,0.476951633770902
306,vancouver_tour_including_capilano_suspension_bridge,tours_&_sightseeing,130.0,0.46759864919717
757,laurentian_mountains_day_trip_from_montreal,recommended_experiences,100.0,0.463940186384192
618,full-day_niagara_winery_tour_from_toronto,luxury_&_special_occasions,99.0,0.46337912203357423
443,vancouver_highlights_bike_tour,walking_&_biking_tours,94.45,0.4583239870710455
658,butchart_gardens_tour_from_victoria,recommended_experiences,73.5,0.451678051405039
514,full-day_mont-tremblant_rouge_river_rafting_tour_with_lunch,water_sports,98.29,0.4511234447781072
544,niagara_falls_helicopter_tour,family_friendly,145.0,0.41932103161262824
716,niagara-on-the-lake_wine_tour_with_lunch,recommended_experiences,114.99,0.4069748379955549
465,ottawa_spring_tulip_festival_bike_tour,walking_&_biking_tours,68.0,0.40054915039156747
149,vancouver_brewery_tour,"food,_wine_&_nightlife",83.99,0.3991049291927554
659,quebec_city_sightseeing_tour,recommended_experiences,42.0,0.390989121816537
583,lift_your_spirits!_distillery_and_cocktail_experience,family_friendly,105.0,0.38385806318739046
647,vancouver_city_sightseeing_tour,recommended_experiences,80.0,0.37847499130696594
372,ottawa_spring_tulip_festival_bike_tour,tours_&_sightseeing,68.0,0.3713853486934128
