id,hotel_name,hotel_rating,hotel_experience,amenities,address,country,location,price
1,Niagara Falls Marriott Fallsview Hotel & Spa,4.0,Very good,"['Pool', 'Restaurant', 'Fitness Centre with Gym / Workout Room', 'Spa', 'Room service', 'Bar/Lounge', 'Banquet Room', 'Breakfast Available', 'Business Centre with Internet Access', 'Concierge', 'Conference Facilities', 'Dry Cleaning', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Paid Internet', 'Paid Wifi', 'Public Wifi', 'Wheelchair Access', 'Family Rooms', 'Non-smoking rooms', 'Suites']",6740 Fallsview Blvd Niagara Falls Ontario,Canada,"(43.0784124, -79.0820118287735)",118.0
2,Fairmont Royal York,4.5,Excellent,"['Restaurant', 'Room service', 'Fitness Centre with Gym / Workout Room', 'Bar/Lounge', 'Pool', 'Free Internet', 'Spa', 'Airport transportation', 'Banquet Room', 'Breakfast Available', 'Business Centre with Internet Access', 'Concierge', 'Conference Facilities', 'Dry Cleaning', 'Heated pool', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Paid Internet', 'Paid Wifi', 'Pets Allowed ( Dog / Pet Friendly )', 'Sauna', 'Wheelchair Access', 'Air conditioning', 'Minibar', 'Refrigerator in room', 'Accessible rooms', 'Family Rooms', 'Non-smoking rooms', 'Suites']",100 Front Street W Toronto Ontario,Canada,"(43.6459092, -79.3813636)",489.0
3,Blue Horizon Hotel,4.5,Excellent,"['Pool', 'Restaurant', 'Free High Speed Internet (WiFi)', 'Fitness Centre with Gym / Workout Room', 'Bar/Lounge', 'Banquet Room', 'Breakfast Available', 'Business Centre with Internet Access', 'Concierge', 'Conference Facilities', 'Dry Cleaning', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Public Wifi', 'Sauna', 'Air conditioning', 'Refrigerator in room', 'Non-smoking rooms', 'Suites']",1225 Robson St Vancouver British Columbia,Canada,"(49.2870098, -123.1285348)",169.0
4,Fairmont Le Chateau Frontenac,4.5,Excellent,"['Restaurant', 'Fitness Centre with Gym / Workout Room', 'Room service', 'Bar/Lounge', 'Pool', 'Free Internet', 'Spa', 'Babysitting', 'Banquet Room', 'Breakfast Available', 'Business Centre with Internet Access', 'Children Activities (Kid / Family Friendly)', 'Concierge', 'Conference Facilities', 'Dry Cleaning', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Paid Internet', 'Paid Wifi', 'Pets Allowed ( Dog / Pet Friendly )', 'Wheelchair Access', 'Air conditioning', 'Minibar', 'Accessible rooms', 'Family Rooms', 'Non-smoking rooms', 'Suites']",1 Rue des Carrieres Quebec City Quebec,Canada,"(46.81182845, -71.2055490276425)",212.0
5,Rimrock Resort Hotel,4.5,Excellent,"['Pool', 'Room service', 'Fitness Centre with Gym / Workout Room', 'Restaurant', 'Bar/Lounge', 'Spa', 'Free High Speed Internet (WiFi)', 'Babysitting', 'Banquet Room', 'Breakfast Available', 'Business Centre with Internet Access', 'Concierge', 'Conference Facilities', 'Dry Cleaning', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Sauna', 'Wheelchair Access', 'Air conditioning', 'Refrigerator in room', 'Accessible rooms', 'Family Rooms', 'Non-smoking rooms', 'Suites']",300 Mountain Avenue Alberta,Canada,"(51.1615167, -115.5706911)",189.0
6,Niagara Falls Marriott on the Falls,4.0,Very good,"['Pool', 'Restaurant', 'Fitness Centre with Gym / Workout Room', 'Room service', 'Bar/Lounge', 'Breakfast Available', 'Concierge', 'Conference Facilities', 'Dry Cleaning', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Paid Internet', 'Paid Wifi', 'Public Wifi', 'Wheelchair Access', 'Family Rooms', 'Non-smoking rooms', 'Suites']",6755 Fallsview Boulevard Niagara Falls Ontario,Canada,"(43.0773648, -79.0827579478645)",
7,The Burrard,4.0,Very good,"['Free High Speed Internet (WiFi)', 'Laundry Service', 'Multilingual Staff', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Air conditioning', 'Refrigerator in room', 'Non-smoking rooms']",1100 Burrard St Vancouver British Columbia,Canada,"(49.27975795, -123.127732331588)",123.0
8,One King West Hotel & Residence,4.5,Excellent,"['Restaurant', 'Fitness Centre with Gym / Workout Room', 'Room service', 'Bar/Lounge', 'Free High Speed Internet (WiFi)', 'Banquet Room', 'Business Centre with Internet Access', 'Concierge', 'Conference Facilities', 'Dry Cleaning', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Self-Serve Laundry', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Accessible rooms', 'Kitchenette', 'Non-smoking rooms', 'Suites']",1 King Street West Toronto Ontario,Canada,"(50.000678, -86.000977)",
9,Le Square Phillips Hotel & Suites,4.5,Excellent,"['Pool', 'Free High Speed Internet (WiFi)', 'Fitness Centre with Gym / Workout Room', 'Room service', 'Restaurant', 'Breakfast included', 'Banquet Room', 'Business Centre with Internet Access', 'Concierge', 'Conference Facilities', 'Dry Cleaning', 'Heated pool', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Self-Serve Laundry', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms', 'Suites']",1193 Place Phillips Montreal Quebec,Canada,"(45.503560325, -73.56732943)",
10,Banff Park Lodge Resort and Conference Centre,4.0,Very good,"['Pool', 'Restaurant', 'Room service', 'Fitness Centre with Gym / Workout Room', 'Bar/Lounge', 'Banquet Room', 'Breakfast Available', 'Business Centre with Internet Access', 'Concierge', 'Conference Facilities', 'Dry Cleaning', 'Electric vehicle charging station', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Paid Internet', 'Paid Wifi', 'Sauna', 'Self-Serve Laundry', 'Wheelchair Access', 'Refrigerator in room', 'Accessible rooms', 'Family Rooms', 'Non-smoking rooms', 'Suites']",222 Lynx Street Alberta,Canada,"(51.1788053, -115.5744519)",
