id,hotel_name,hotel_rating,hotel_experience,amenities,address,country,locality,location,price
9001,Peterborough House B&B,,,[],633 Gilmour St ,Canada,Kimberley British Columbia,"(44.3014954, -78.338309)",
9002,Ramada Inn,,,"['Bar/Lounge', 'Non-smoking hotel', 'Wheelchair Access', 'Non-smoking rooms']",100 Charlotte St Peterborough Ontario,Canada,Kimberley British Columbia,"(44.3035966, -78.3185251)",
9003,Hotel Le Floral,4.5,Excellent,"['Free High Speed Internet (WiFi)', 'Pool', 'Free parking', 'Bar/Lounge', 'Breakfast included', 'Dry Cleaning', 'Heated pool', 'Multilingual Staff', 'Non-smoking hotel', 'Outdoor pool', 'Public Wifi', 'Wheelchair Access', 'Air conditioning', 'Refrigerator in room', 'Family Rooms', 'Non-smoking rooms', 'Suites']",192 Sherbrooke Quebec,Canada,Kimberley British Columbia,"(45.403271, -71.889038)",115
9004,OTL Gouverneur Sherbrooke,5.0,Excellent,"['Pool', 'Room service', 'Free parking', 'Restaurant', 'Bar/Lounge', 'Spa', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Fitness Centre with Gym / Workout Room', 'Banquet Room', 'Breakfast Available', 'Business Centre with Internet Access', 'Concierge', 'Conference Facilities', 'Dry Cleaning', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Self-Serve Laundry', 'Wheelchair Access', 'Air conditioning', 'Refrigerator in room', 'Accessible rooms', 'Family Rooms', 'Non-smoking rooms', 'Suites']", ,Canada,Kimberley British Columbia,"('nil', 'nil')",
9005,Delta Hotels by Marriott Sherbrooke Conference Center,3.5,Very good,"['Restaurant', 'Free High Speed Internet (WiFi)', 'Fitness Centre with Gym / Workout Room', 'Room service', 'Free parking', 'Bar/Lounge', 'Babysitting', 'Banquet Room', 'Conference Facilities', 'Dry Cleaning', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Wheelchair Access', 'Air conditioning', 'Accessible rooms', 'Family Rooms', 'Non-smoking rooms', 'Suites']",2685 King Ouest Sherbrooke Quebec,Canada,Kimberley British Columbia,"(45.3983347290799, -71.939346911956)",
9006,Auberge Marquis de Montcalm,5.0,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Room service', 'Spa', 'Breakfast Available', 'Business Centre with Internet Access', 'Concierge', 'Dry Cleaning', 'Hot Tub', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Public Wifi', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Non-smoking rooms', 'Suites']",797 General-De Montcalm St. Sherbrooke Quebec,Canada,Kimberley British Columbia,"(52.4760892, -71.8258668)",169
9007,Hotel Le President,4.0,Very good,"['Pool', 'Free parking', 'Free High Speed Internet (WiFi)', 'Banquet Room', 'Conference Facilities', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Wheelchair Access', 'Air conditioning', 'Family Rooms', 'Non-smoking rooms']",3535 King Street West Sherbrooke Quebec,Canada,Kimberley British Columbia,"(52.4760892, -71.8258668)",
9008,Grand Times Hotel Sherbrooke,3.5,Very good,"['Pool', 'Free High Speed Internet (WiFi)', 'Fitness Centre with Gym / Workout Room', 'Breakfast included', 'Bar/Lounge', 'Banquet Room', 'Business Centre with Internet Access', 'Conference Facilities', 'Dry Cleaning', 'Heated pool', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Non-smoking rooms', 'Suites']",1 rue Belvedere Sud Sherbrooke Quebec,Canada,Kimberley British Columbia,"(45.3980075, -71.8970635)",
9009,Comfort Inn Sherbrooke,3.5,Very good,"['Free parking', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Breakfast Available', 'Business Centre with Internet Access', 'Dry Cleaning', 'Golf Course', 'Laundry Service', 'Multilingual Staff', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Accessible rooms', 'Family Rooms', 'Non-smoking rooms']",4295 Boulevard Bourque Sherbrooke Quebec,Canada,Kimberley British Columbia,"(45.3827413, -71.9685113)",
9010,Motel Lennoxville,4.0,Very good,"['Pool', 'Free parking', 'Free High Speed Internet (WiFi)', 'Non-smoking hotel', 'Outdoor pool', 'Air conditioning', 'Microwave', 'Refrigerator in room']", ,Canada,Kimberley British Columbia,"('nil', 'nil')",
